Name,Alias
CTK,"HYLTK, MGC2101, CHK, HYL, Lsk, DKFZp434N1212, MGC1708, MATK, HHYLTK, CTK"
DDR1,"PTK3, EDDR1, NTRK4, DDR, DDR1, trkE, CD167, CAK, RTK6, PTK3A, TRKE, MCK10, NEP"
DDR2,"DDR2, TKT, NTRKR3, TYRO10, MIG20a"
EGFR,"ERBB, ERBB1, EGFR, mENA, EGFRvIII"
ErbB2,"ErbB2, ERBB2, Hs.103992, NGL, c-erbB2, TKR1, HER-2, Hs.323910, c-erb B2, c-erbB-2, HER2, NEU, HER-2/neu"
ErbB3,"ErbB3, MDA-BF-1, p180-ErbB3, Hs.199067, ERBB3, erbB3-S, c-erbB3, p85-sErbB3, p45-sErbB3, Hs.167387, Hs.167386, HER3, c-erbB-3, ErbB-3, MGC88033"
ErbB4,"p180erbB4, MGC138404, ERBB4, ErbB4, HER4"
EphA2,"ECK, EphA2, EPHA2"
EphA1,"MGC163163, EphA1, EPHA1, EPHT, EPHT1, EPH"
EphA3,"HEK4, EPHA3, EphA3, ETK, TYRO4, ETK1, HEK"
EphA4,"HEK8, SEK, EphA4, TYRO1, EPHA4"
EphA5,"Hs.31092, HEK7, EphA5, Hs.194771, TYRO4, EHK1, EPHA5, CEK7"
EphA7,"EphA7, EPHA7, HEK11, EHK3"
EphA8,"EPHA8, HEK3, KIAA1459, EEK, EphA8"
EphB1,"ELK, EphB1, Hek6, HEK6, FLJ37986, EPHB1, EPHT2, NET"
EphB2,"EphB2, EPHB2, Hek5, MGC87492, DRT, PCBC, EPHT3, Tyro5, ERK, CAPB, HEK5"
EphB3,"ETK2, EphB3, HEK2, TYRO6, EPHB3"
EphB4,"EPHB4, HTK, TYRO11, MYK1, EphB4"
EphB6,"HEP, EPHB6, EphB6, MGC129910, MGC129911"
EphA10,"MGC43817, FLJ33655, EPHA10, FLJ16103, EphA10"
EphA6,"EPA6, DKFZp434C1418, EphA6, EPHA6, FLJ35246, PRO57066"
PYK2,"FAK2, FADK2, PTK, PYK2, CAK_beta, CADTK, PKB, PTK2B, RAFTK, CAKB"
FAK,"FAK1, pp125FAK, FADK, FAK, PTK2, FAKpp125"
FER,"NCP94, TYK3, FER"
FES,"FES, FPS"
FGFR1,"HBGFR, H4, H2, C-FGR, CEK, FLJ14326, H5, N-SAM, KAL2, BFGFR, H3, FGFBR, CD331, LOC51033, FLT2, FLG, FGFR1"
FGFR3,"CEK2, ACH, JTK4, CD333, FGFR3, HSFGFR3EX"
FGFR2,"BEK, K-SAM, ECT1, KGFR, JWS, TK14, CFD1, TK25, CEK3, FGFR2, CD332, BFR-1"
FGFR4,"TKF, JTK2, FGFR4, CD334, MGC20292"
IGF1R,"MGC142172, IGF1R, MGC142170, IGFIR, CD221, MGC18216, JTK13"
INSR,"INSR, HHF5, CD220"
IRR,"IRR, INSRR"
JAK1,"JAK1A, JAK1B, JAK1"
JAK2,JAK2
JAK3,"JAKL, LJAK, JAK3, L-JAK, JAK-3, JAK3_HUMAN"
TYK2,"TYK2, JTK1"
LMR1,"KIAA0641, AATYK, LMTK1, LMR1, AATK"
LMR2,"BREK, LMTK2, AATYK2, LMR2, KIAA1079, KPI2, cprk, KPI-2"
MET,"MET, C-MET, RCCP2, HGFR"
RON,"CDw136, PTK8, MST1R, RON"
MUSK,"MUSK, MGC126323, MGC126324"
FMS,"FIM2, CD115, CSF1R, FMS, CSFR, C-FMS, CSF-1R"
FLT3,"STK1, CD135, FLT3, FLK2"
KIT,"PBT, CD117, C-Kit, SCFR, KIT"
PDGFRa,"PDGFRa, CD140A, PDGFRA, PDGFR2, MGC74795, Rhe-PDGFRA"
PDGFRb,"PDGFR, PDGFRb, PDGFRB, CD140B, PDGFR1, PDGF-R-beta, JTK12"
RET,"RET51, CDHF12, HSCR1, PTC, Hs.168114, RET, RET-ELE1, MEN2B, Hs.RET, MTC1, MEN2A"
ROR1,"MGC99659, NTRKR1, ROR1, dJ537F10.1"
ROR2,"NTRKR2, BDB1, ROR2, MGC163394, BDB"
RYK,"JTK5A, RYK1, RYK, JTK5, D3S3195"
ROS,"MCF3, ROS, ROS1"
FRK,"FRK, GTK, PTK5, RAK"
FGR,"FLJ43153, FGR, SRC2, MGC75096, p55c-fgr, p58c-fgr, c-fgr, c-src2"
FYN,"FYN, SYN, MGC45350, SLK"
SRC,"p60-Src, SRC, SRC1, ASV, c-SRC"
YES,"HsT441, c-yes, C-YES, Yes, YES, P61-YES, YES1"
BLK,"MGC10442, BLK"
HCK,"HCK, p59hck, p56hck, JTK9"
LCK,"pp58lck, LCK, YT16, p56lck"
LYN,"LYN, JTK8, FLJ26625"
BRK,"FLJ42088, BRK, PTK6"
SRM,"C20orf148, SRMS, dJ697K14.1, SRM"
SYK,SYK
ZAP70,"STD, SRK, TZK, ZAP70, ZAP-70"
BMX,"ETK, BMX, PSCTK2, PSCTK3"
BTK,"AGMX1, IMD1, PSCTK1, BPK, ATK, XLA, MGC126261, MGC126262, AT, BTK"
ITK,"MGC126258, ITK, PSCTK2, MGC126257, EMT, LYK"
TEC,"MGC126760, MGC126762, TEC, PSCTK4"
TXK,"TXK, PTK4, RLK, TKL, PSCTK5, MGC22473, BTKL"
TIE2,"VMCM1, TEK, HPK-6, VMCM, TIE2, CD202B, TIE-2"
TIE1,"JTK14, TIE, TIE1"
SuRTK106,"DKFZp761P1010, DKFZP761P1010, NOK, SuRTK106, STYK1"
TRKA,"TRK, TRK1, TRKA, NTRK1, TRK-A, p140-TrkA, DKFZp781I14186, MTC"
TRKB,"GP145-TrkB, TRKB, NTRK2"
TRKC,"TRKC, gp145(trkC), NTRK3"
FLT1,"VEGFR1, VEGFR-1, FLT-1, FLT, FLT1"
FLT4,"FLT4, VEGFR3, FLT41, PCL"
KDR,"FLK1, VEGFR, FLK-1, Hs.12337, VEGFR2, VEGFR-2, Hs.KDR, CD309, KDR"
IRAK1,"IRAK, IRAK1, pelle"
IRAK2,"IRAK2, IRAK-2, MGC150550"
IRAK3,"IRAK3, IRAK-M"
IRAK4,"REN64, NY-REN-64, LOC51135, IRAK4"
LIMK1,"LIMK, LIMK1"
LIMK2,"LIMK2, PLCB3NP"
TESK1,TESK1
TESK2,TESK2
LRRK1,"FLJ23119, LRRK1, Roco1, FLJ27465, RIPK6, KIAA1790"
LRRK2,"ROCO2, RIPK7, PARK8, LRRK2"
HH498,"HH498, MGC33828, MGC142099, CARK, TNNI3K, LOC51086"
ILK,"DKFZp686F1765, ILK-1, ILK, P59"
DLK,"DLK, Hs.ZPK, Hs.3063, ZPK, MAP3K12, ZPKP1, MUK"
LZK,"LZK, MAP3K13, MGC133196"
MLK1,"MAP3K9, PRKE1, MLK1"
MLK2,"MLK2, MAP3K10, MST"
MLK3,"PTK1, MGC17114, MLK3, MLK-3, MAP3K11, SPRK"
MLK4,"KIAA1804, dJ862P8.3, RP5-862P8.2, MLK4"
TAK1,"TGF1a, TAK1, MAP3K7"
ZAK,"MLTK, LOC51784, ZAK, mlklak, MLK7, LOC51776, AZK, MLT, MRK"
KSR1,"RSU2, KSR1, KSR"
KSR2,"KSR2, FLJ25965"
ARAF,"PKS2, RAFA1, A-RAF, ARAF, ARAF1"
BRAF,"RAFB1, BRAF1, B-raf 1, MGC138284, BRAF, MGC126806"
RAF1,"Raf-1, c-Raf, RAF1, CRAF"
RIPK1,"RIPK1, FLJ39204, RIP"
RIPK2,"GIG30, CARDIAK, RIP2, RIPK2, RICK, CCK, CARD3"
RIPK3,"RIP3, RIPK3"
SgK288,"PKK2, ANKK1, SgK288"
ALK2,"ACVR1, ACTRI, ACVRLK2, ALK2, FOP, SKR1"
ALK4,"ALK4, ACVR1B, SKR2, ACVRLK4, ACTRIB"
ALK1,"ACVRLK1, HHT, ORW2, ALK-1, ALK1, ACVRL1, HHT2, SKR3, TSR-I"
BMPR1A,"CD292, BMPR1A, ALK3, ACVRLK3"
BMPR1B,"ALK6, CDw293, BMPR1B, ALK-6"
TGFbR1,"TGFbR1, TGF_beta_RI, AAT5, TbetaR-I, TGFBR1, ACVRLK4, ALK-5, ALK5, TGFR-1, SKR4"
ALK7,"ALK7, ACVRLK7, ACVR1C"
ACTR2,"ACVR2A, ACTR2, ACTRII, ACVR2"
ACTR2B,"ACVR2B, hActR-IIB, ACTR2B, Hs.23994, ACTR-IIB, MGC116908"
MISR2,"AMHR, MISRII, AMHR2, MISR2"
BMPR2,"T-ALK, BMPR-II, PPH1, BRK-3, BMR2, BMPRII, BMPR2, BMPR3"
TGFbR2,"TAAD2, TGFbR2, HNPCC6, MFS2, TbetaR-II, TGFBR2, TGFR-2, TGFbeta-RII, TbetaRII, RIIC, AAT3, TGF_beta_RII, FAA3"
MLKL,"FLJ34389, MLKL"
