Name,Alias
IKKa,"TCF16, IKK1, Hs.159147, IKK-ALPHA, CHUK, IKBKA, IKK-alpha, NFKBIKA, IKKA, IKKa"
IKKb,"IKBKB, MGC131801, IKK2, FLJ40509, IKK-beta, Hs.226573, NFKBIKB, Hs.166208, IKKB, IKKb"
IKKe,"IKKE, MGC125295, MGC125294, MGC125297, IKKe, KIAA0151, IKBKE, IKK-i, IKKI"
TBK1,"NAK, T2K, FLJ11330, TBK1"
IRE1,"IRE1, MGC163279, IRE1P, MGC163277, FLJ30999, ERN1"
IRE2,"IRE2, ERN2, IRE1b"
KIS,"KIS, Kist, UHMK1"
MOS,"MOS, MSV, c-mos, MGC119963, MGC119962"
AAK1,"KIAA1048, AAK1, MGC138170"
BIKE,"DKFZp434K0614, BIKE, HRIHFB2017, BMP2K, DKFZp434P0116"
GAK,"FLJ40395, MGC99654, GAK"
MPSK1,"PKL12, STK16, MPSK, MPSK1, TSF1, FLJ39635, KRCT"
NEK1,"NEK1, DKFZp686D06121, DKFZp686K12169, MGC138800, NY-REN-55, KIAA1901"
NEK3,"HSPK36, MGC29949, NEK3"
NEK5,"NEK5, MGC75495"
NEK10,"FLJ32685, NEK10"
NEK11,"NEK11, FLJ23495"
NEK2,"NEK2, HsPK 21, HsPK_21, HsPK21, NEK2A, NLK1"
NEK4,"NEK4, pp12301, STK2, MGC33171, NRK2"
NEK6,"NEK6, SID6-1512"
NEK7,NEK7
NEK9,"MGC138306, NERCC, DKFZp434D0935, Nek8, NEK9, NERCC1, MGC16714"
NEK8,"MGC138445, NEK12A, NEK8, JCK"
SBK,"SBK, SBK1, Sbk"
SgK069,"SgK069, LOC646643"
PINK1,"PINK1, PARK6, BRPK, FLJ27236"
SgK269,"SgK269, FLJ21140, FLJ34483, KIAA2002"
SgK223,"pragmin, DKFZp761P0423, SgK223"
CLIK1,"STK35, CLIK1"
CLIK1L,"RP11-96L14.4, CLIK1L, PDIK1L"
SgK307,"SgK307, TEX14"
NRBP1,"MUDPNP, FLJ35541, NRBP, MADM, FLJ27109, BCON3, NRBP1"
NRBP2,"pp9320, TRG16, MGC138699, DKFZp434P086, NRBP2"
