,ChEMBL_ID,REFERENCE,PUBMED_ID
80,CHEMBL1956068,"Cell Signal, 11, p. 95 (1999)",10048786
81,CHEMBL271595,"J. Med. Chem., 44, p. 4339 (2001)",11728181
82,CHEMBL271594,"J. Med. Chem., 44, p. 4339 (2001)",11728181
83,CHEMBL272165,"J. Med. Chem., 44, p. 4339 (2001)",11728181
84,CHEMBL272028,"J. Med. Chem., 44, p. 4339 (2001)",11728181
85,CHEMBL410072,"J. Med. Chem., 44, p. 4339 (2001)",11728181
86,CHEMBL1794056,"Bioorg. Med. Chem. Lett., 14, p. 953 (2004)",15013000
87,CHEMBL531804,"Bioorg. Med. Chem. Lett., 11, p. 1401 (2001)",11378364
88,CHEMBL1880739,"Bioorg. Med. Chem. Lett., 10, p. 223 (2000)",10698440
89,CHEMBL409892,"J. Med. Chem., 44, p. 4339 (2001)",11728181
90,CHEMBL405042,"J. Med. Chem., 44, p. 4339 (2001)",11728181
91,CHEMBL1909399,"J. Med. Chem., 44, p. 4339 (2001)",11728181
92,CHEMBL270544,"J. Med. Chem., 44, p. 4339 (2001)",11728181
93,CHEMBL1794052,"Bioorg. Med. Chem. Lett., 10, p. 223 (2000)",10698440
94,CHEMBL1789963,"Bioorg. Med. Chem. Lett., 10, p. 223 (2000)",10698440
95,CHEMBL220243,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
96,CHEMBL1794053,"Bioorg. Med. Chem. Lett., 10, p. 223 (2000)",10698440
97,CHEMBL1909357,"J. Med. Chem., 51, p. 4632 (2008)",18620382
98,CHEMBL272414,"J. Med. Chem., 44, p. 4339 (2001)",11728181
99,CHEMBL269883,"J. Med. Chem., 44, p. 4339 (2001)",11728181
100,CHEMBL220244,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
101,CHEMBL1794050,"Bioorg. Med. Chem. Lett., 10, p. 223 (2000)",10698440
102,CHEMBL218932,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
103,CHEMBL485745,"Bioorg. Med. Chem. Lett., 18, p. 5428 (2008)",18818075
104,CHEMBL218088,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
105,CHEMBL374060,"Bioorg. Med. Chem. Lett., 16, p. 5378 (2006)",16890436
