CHEMBL_ID,TARGETS
CHEMBL1909413,b-RAF
CHEMBL1794071,b-RAF
CHEMBL237570,TIE2
CHEMBL237571,TIE2
CHEMBL1909342,JNK2/JNK3
CHEMBL1909343,GSK3b
CHEMBL1909344,GSK3b
CHEMBL1794072,b-RAF
CHEMBL1909345,GSK3b
CHEMBL1909346,GSK3b
CHEMBL408732,GSK3b
CHEMBL260417,GSK3b
CHEMBL261129,GSK3b
CHEMBL405021,GSK3b
CHEMBL189231,MSK1
CHEMBL261440,GSK3b
CHEMBL419903,GSK3b
CHEMBL188048,MSK1
CHEMBL185962,MSK1
CHEMBL188240,MSK1
CHEMBL103098,GSK3b
CHEMBL185710,MSK1
CHEMBL1909348,GSK3b
CHEMBL408564,GSK3b
CHEMBL407113,GSK3b
CHEMBL103080,GSK3b
CHEMBL102936,GSK3b
CHEMBL101804,GSK3b
CHEMBL187985,MSK1
CHEMBL188268,MSK1
CHEMBL365072,MSK1
CHEMBL191105,MSK1
CHEMBL1909376,AKT1
CHEMBL1909384,ROCK1
CHEMBL233002,JNK2/JNK3
CHEMBL346551,GSK3b
CHEMBL1909406,p38a
CHEMBL266707,ALK5
